expiry,strike,type,close
1/13/2021,13400,Call,2110
1/13/2021,13400,Put,0.1
1/13/2021,13500,Call,2010
1/13/2021,13500,Put,0.2
1/13/2021,13600,Call,1910
1/13/2021,13600,Put,0.2
1/13/2021,13700,Call,1810
1/13/2021,13700,Put,0.2
1/13/2021,13800,Call,1710
1/13/2021,13800,Put,0.2
1/13/2021,13900,Call,1610
1/13/2021,13900,Put,0.2
1/13/2021,14000,Call,1510
1/13/2021,14000,Put,0.3
1/13/2021,14100,Call,1410
1/13/2021,14100,Put,0.4
1/13/2021,14200,Call,1310
1/13/2021,14200,Put,0.4
1/13/2021,14300,Call,1210
1/13/2021,14300,Put,1.1
1/13/2021,14400,Call,1110
1/13/2021,14400,Put,1.2
1/13/2021,14500,Call,1010
1/13/2021,14500,Put,1.2
1/13/2021,14550,Call,965
1/13/2021,14550,Put,1.2
1/13/2021,14600,Call,915
1/13/2021,14600,Put,1.2
1/13/2021,14650,Call,865
1/13/2021,14650,Put,1.4
1/13/2021,14700,Call,815
1/13/2021,14700,Put,1.5
1/13/2021,14750,Call,765
1/13/2021,14750,Put,1.6
1/13/2021,14800,Call,715
1/13/2021,14800,Put,1.6
1/13/2021,14850,Call,665
1/13/2021,14850,Put,1.7
1/13/2021,14900,Call,615
1/13/2021,14900,Put,2.2
1/13/2021,14950,Call,565
1/13/2021,14950,Put,2.5
1/13/2021,15000,Call,520
1/13/2021,15000,Put,3.2
1/13/2021,15100,Call,420
1/13/2021,15100,Put,5
1/13/2021,15200,Call,320
1/13/2021,15200,Put,8.4
1/13/2021,15300,Call,231
1/13/2021,15300,Put,15.5
1/13/2021,15400,Call,147
1/13/2021,15400,Put,31
1/13/2021,15500,Call,77
1/13/2021,15500,Put,61
1/13/2021,15600,Call,35
1/13/2021,15600,Put,121
1/13/2021,15700,Call,14.5
1/13/2021,15700,Put,197
1/13/2021,15800,Call,4.8
1/13/2021,15800,Put,293
1/13/2021,15900,Call,2.2
1/13/2021,15900,Put,391
1/13/2021,16000,Call,1.3
1/13/2021,16000,Put,490
1/13/2021,16200,Call,0.5
1/13/2021,16200,Put,690
1/13/2021,16400,Call,0.4
1/13/2021,16400,Put,890
1/13/2021,16600,Call,0.2
1/13/2021,16600,Put,1090
1/13/2021,16800,Call,0.2
1/13/2021,16800,Put,1290
1/13/2021,17000,Call,0.1
1/13/2021,17000,Put,1490
1/13/2021,17200,Call,0.1
1/13/2021,17200,Put,1690
1/20/2021,10600,Call,4890
1/20/2021,10600,Put,1.2
1/20/2021,10700,Call,4790
1/20/2021,10700,Put,1.4
1/20/2021,10800,Call,4690
1/20/2021,10800,Put,1.5
1/20/2021,10900,Call,4590
1/20/2021,10900,Put,1.6
1/20/2021,11000,Call,4490
